N,merge_worst,merge_avg,merge_best,heap_worst,heap_avg,heap_best
0,0.000000403,0.000000113,0.000000112,0.000000230,0.000000123,0.000000123
0,0.000000126,0.000000112,0.000000112,0.000000124,0.000000123,0.000000124
0,0.000000129,0.000000114,0.000000110,0.000000120,0.000000121,0.000000121
0,0.000000110,0.000000115,0.000000110,0.000000128,0.000000121,0.000000121
0,0.000000111,0.000000112,0.000000111,0.000000123,0.000000123,0.000000122
0,0.000000109,0.000000112,0.000000114,0.000000123,0.000000121,0.000000123
0,0.000000110,0.000000113,0.000000112,0.000000126,0.000000123,0.000000121
0,0.000000110,0.000000110,0.000000117,0.000000125,0.000000125,0.000000122
0,0.000000111,0.000000114,0.000000109,0.000000123,0.000000121,0.000000124
0,0.000000105,0.000000114,0.000000110,0.000000124,0.000000120,0.000000123
0,0.000000111,0.000000112,0.000000111,0.000000119,0.000000121,0.000000121
0,0.000000109,0.000000111,0.000000111,0.000000123,0.000000121,0.000000121
0,0.000000110,0.000000109,0.000000112,0.000000122,0.000000124,0.000000123
0,0.000000110,0.000000114,0.000000112,0.000000125,0.000000121,0.000000123
0,0.000000111,0.000000111,0.000000111,0.000000122,0.000000120,0.000000121
0,0.000000112,0.000000112,0.000000115,0.000000124,0.000000122,0.000000126
0,0.000000108,0.000000110,0.000000112,0.000000123,0.000000121,0.000000123
0,0.000000109,0.000000114,0.000000115,0.000000120,0.000000123,0.000000122
0,0.000000110,0.000000115,0.000000111,0.000000125,0.000000122,0.000000123
0,0.000000107,0.000000112,0.000000111,0.000000123,0.000000123,0.000000121
0,0.000000114,0.000000112,0.000000112,0.000000125,0.000000121,0.000000125
0,0.000000111,0.000000113,0.000000112,0.000000124,0.000000121,0.000000124
0,0.000000110,0.000000112,0.000000114,0.000000124,0.000000123,0.000000122
0,0.000000111,0.000000112,0.000000114,0.000000120,0.000000122,0.000000124
0,0.000000111,0.000000110,0.000000110,0.000000122,0.000000125,0.000000124
1,0.000000181,0.000000126,0.000000126,0.000000154,0.000000138,0.000000140
1,0.000000134,0.000000128,0.000000130,0.000000137,0.000000140,0.000000139
1,0.000000157,0.000000128,0.000000130,0.000000140,0.000000139,0.000000146
1,0.000000131,0.000000128,0.000000126,0.000000139,0.000000137,0.000000138
1,0.000000128,0.000000125,0.000000132,0.000000135,0.000000136,0.000000139
1,0.000000129,0.000000126,0.000000128,0.000000139,0.000000134,0.000000137
1,0.000000129,0.000000128,0.000000130,0.000000135,0.000000138,0.000000138
1,0.000000130,0.000000127,0.000000128,0.000000137,0.000000136,0.000000140
1,0.000000129,0.000000127,0.000000128,0.000000141,0.000000137,0.000000138
1,0.000000126,0.000000130,0.000000133,0.000000136,0.000000135,0.000000136
1,0.000000127,0.000000127,0.000000127,0.000000136,0.000000137,0.000000142
1,0.000000128,0.000000129,0.000000127,0.000000140,0.000000143,0.000000137
1,0.000000127,0.000000134,0.000000130,0.000000140,0.000000136,0.000000138
1,0.000000149,0.000000128,0.000000129,0.000000134,0.000000139,0.000000135
1,0.000000127,0.000000124,0.000000146,0.000000141,0.000000156,0.000000135
1,0.000000126,0.000000127,0.000000127,0.000000137,0.000000137,0.000000138
1,0.000000127,0.000000128,0.000000127,0.000000136,0.000000135,0.000000139
1,0.000000127,0.000000127,0.000000127,0.000000135,0.000000137,0.000000137
1,0.000000128,0.000000128,0.000000129,0.000000137,0.000000138,0.000000139
1,0.000000128,0.000000129,0.000000127,0.000000138,0.000000139,0.000000137
1,0.000000130,0.000000131,0.000000128,0.000000137,0.000000143,0.000000137
